City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,jwaneng,-24.6004,24.7303,9.12,61,92,4.23,BW,1693268361
375,argo,37.6333,22.7333,23.21,54,1,1.92,GR,1693268363
376,balabac,7.9868,117.0645,29.21,72,99,7.55,PH,1693268364
377,mananjary,-21.2167,48.3333,19.45,90,100,5.66,MG,1693268366
378,marathon,44.9,-89.7668,25.1,61,0,2.06,US,1693268367
379,chehalis,46.662,-122.964,19.8,82,100,2.57,US,1693268368
380,sassnitz,54.5167,13.65,13.22,72,94,2.76,DE,1693268144
381,garissa,-0.4536,39.6401,23.94,67,3,9.0,KE,1693268371
382,luwingu,-10.2621,29.9271,13.92,79,48,4.6,ZM,1693268373
383,cromer,52.9312,1.2989,13.0,70,68,2.94,GB,1693268374
384,lethem,3.3803,-59.7968,28.99,56,50,1.47,GY,1693268376
385,matoury,4.8483,-52.3317,27.98,83,0,1.54,GF,1693268377
386,ciudad melchor muzquiz,27.8833,-101.5167,35.62,27,4,2.61,MX,1693268379
387,mount isa,-20.7333,139.5,24.87,25,0,3.6,AU,1693268380
388,urzhar,47.093,81.6294,14.91,85,83,1.11,KZ,1693268382
389,barcelos,41.5388,-8.6151,18.8,94,47,2.84,PT,1693268383
390,mandya,12.5242,76.8958,22.04,82,100,2.12,IN,1693268385
391,dryden,49.7833,-92.7503,18.16,68,75,2.06,CA,1693268386
392,arkalyk,50.2486,66.9114,14.66,57,100,7.78,KZ,1693268388
393,lembeni,-3.7833,37.6167,19.22,69,97,3.8,TZ,1693268389
394,weno,7.4515,151.8468,28.97,79,100,4.12,FM,1693268392
395,taroa,8.7058,171.2275,28.3,77,73,6.07,MH,1693268395
396,howrah,22.5892,88.3103,29.0,89,20,0.0,IN,1693268397
397,goba,7.0167,39.9833,10.87,91,71,2.1,ET,1693268179
398,faya-largeau,17.9257,19.1043,35.75,31,9,3.82,TD,1693268400
399,puerto deseado,-47.7503,-65.8938,7.65,62,3,3.19,AR,1693268402
400,parauapebas,-6.0675,-49.9022,29.61,40,60,0.62,BR,1693268404
401,wagar,16.1525,36.2032,25.73,61,100,9.46,SD,1693268405
402,mecca,21.4267,39.8261,33.96,23,77,1.89,SA,1693268295
403,xudat,41.631,48.681,22.44,78,53,2.52,AZ,1693268409
404,peitz,51.8584,14.4114,13.94,96,100,2.05,DE,1693268411
405,kavaratti,10.5669,72.642,27.84,77,93,5.22,IN,1693268412
406,dauphin,51.1494,-100.0502,24.08,57,0,3.09,CA,1693268414
407,kuybyshevo,47.8123,38.9073,19.81,71,6,4.37,RU,1693268415
408,nova sintra,14.8667,-24.7167,24.42,81,91,5.81,CV,1693268418
409,sola,-13.8833,167.55,27.37,83,100,0.0,VU,1693268420
410,ndibene dahra,15.3338,-15.4766,24.4,88,88,2.41,SN,1693268421
411,pandeglang,-6.3084,106.1067,22.5,85,31,0.54,ID,1693268423
412,calugareni,44.1717,25.9956,26.34,48,0,2.84,RO,1693268424
413,nevel'sk,46.6733,141.8633,17.87,70,91,0.5,RU,1693268426
414,malvan,16.0667,73.4667,25.68,79,65,0.48,IN,1693268427
415,hadibu,12.65,54.0333,26.18,81,28,7.6,YE,1693268429
416,inhambane,-23.865,35.3833,19.36,72,96,5.67,MZ,1693268430
417,sliven,42.6858,26.3292,20.2,57,0,0.41,BG,1693268432
418,mildura,-34.2,142.15,17.82,66,42,5.33,AU,1693268433
419,tobol'sk,58.2,68.2667,11.04,99,100,0.5,RU,1693268435
420,mishelevka,52.8575,103.1719,16.27,81,57,3.21,RU,1693268436
421,moussoro,13.6408,16.4901,27.42,66,90,5.76,TD,1693268438
422,deschutes river woods,43.9915,-121.3584,33.77,27,0,7.72,US,1693268439
423,arquitecto tomas romero pereira,-26.4833,-55.25,13.06,62,0,1.55,PY,1693268441
424,booneville,34.6582,-88.5667,27.35,69,90,2.34,US,1693268442
425,arraial do cabo,-22.9661,-42.0278,18.77,83,100,9.28,BR,1693268445
426,cabedelo,-6.9811,-34.8339,25.37,86,0,3.09,BR,1693268446
427,alice springs,-23.7,133.8833,22.75,14,0,1.54,AU,1693268221
428,zheleznogorsk,52.331,35.3711,17.18,86,86,2.78,RU,1693268449
429,bell ville,-32.6259,-62.6887,14.81,42,0,3.92,AR,1693268451
430,uglich,57.5275,38.3317,7.13,80,100,2.47,RU,1693268454
431,nizao,18.25,-70.2,30.26,84,8,1.73,DO,1693268455
432,mitu,1.1983,-70.1733,24.33,91,77,0.57,CO,1693268457
433,redencao,-4.2258,-38.7306,22.78,88,0,0.86,BR,1693268458
434,atar,20.5169,-13.0499,34.56,39,93,6.06,MR,1693268460
435,waslala,13.2333,-85.3833,24.71,95,100,0.84,NI,1693268461
436,quang ngai,15.1167,108.8,27.41,78,100,1.91,VN,1693268231
437,nouadhibou,20.931,-17.0347,26.99,61,20,3.09,MR,1693268464
